ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced,viviendas,date
1986,1,,,,,,,,,,,,,1986-01-01
1986,2,,,,,,,,,,,,,1986-02-01
1986,3,,,,,,,,,,14.500,,,1986-03-01
1986,4,,,,,,,,,,,,,1986-04-01
1986,5,,,,,,,,,,,,,1986-05-01
1986,6,,,,,,,,,,14.250,,,1986-06-01
1986,7,,,,,,,,,,,,,1986-07-01
1986,8,,,,,,,,,,,9.510,,1986-08-01
1986,9,,,,,,,,,,14.000,9.420,,1986-09-01
1986,10,,,,,,,,,,,9.370,,1986-10-01
1986,11,,,,,,,,,,,8.970,,1986-11-01
1986,12,,,,,,,,,,13.500,8.970,,1986-12-01
1987,1,,,,,,,,,,,8.970,,1987-01-01
1987,2,,,,,,,,,,,8.980,,1987-02-01
1987,3,,,,,,,,,,13.000,8.950,,1987-03-01
1987,4,,,,,,,,,,,8.950,,1987-04-01
1987,5,,,,,,,,,,,9.260,,1987-05-01
1987,6,,,,,,,,,,13.500,9.840,,1987-06-01
1987,7,,,,,,,,,,,9.850,,1987-07-01
1987,8,,,,,,,,,,,9.850,,1987-08-01
1987,9,,,,,,,,,,13.500,10.130,,1987-09-01
1987,10,,,,,,,,,,,9.970,,1987-10-01
1987,11,,,,,,,,,,,10.570,,1987-11-01
1987,12,,,,,,,,,,13.500,10.100,,1987-12-01
1988,1,,,,,,,,,,,10.130,,1988-01-01
1988,2,,,,,,,,,,,10.390,,1988-02-01
1988,3,,,,11.030,,,,,13.750,13.250,10.480,,1988-03-01
1988,4,,,,10.953,,,,,13.750,,10.360,,1988-04-01
1988,5,,,,11.279,,,,,13.625,,10.180,,1988-05-01
1988,6,,,,10.588,,,,,13.625,13.000,10.420,,1988-06-01
1988,7,,,,10.866,,,,,13.500,,10.170,,1988-07-01
1988,8,,,,11.039,,,,,13.375,,9.950,,1988-08-01
1988,9,,,,11.599,,,,,13.250,12.750,9.840,,1988-09-01
1988,10,,,,12.842,,,,,13.750,,10.000,,1988-10-01
1988,11,,,,13.024,,,,,13.375,,10.020,,1988-11-01
1988,12,,,,13.907,,,,,13.250,12.750,10.110,,1988-12-01
1989,1,,,,14.788,,,,,13.750,,10.380,,1989-01-01
1989,2,,,,14.996,,,,,13.500,,10.380,,1989-02-01
1989,3,,,,15.522,,,,,13.750,13.250,10.560,,1989-03-01
1989,4,,,,15.072,,13.172,,,13.875,,10.510,,1989-04-01
1989,5,,,,14.983,,13.395,,,14.000,,10.530,,1989-05-01
1989,6,,,,14.965,,13.568,,,14.000,13.250,10.550,,1989-06-01
1989,7,,,,15.250,,13.661,,,14.125,,10.560,,1989-07-01
1989,8,,,,15.047,,13.711,,,14.500,,10.550,,1989-08-01
1989,9,,,,14.766,,13.741,,,14.500,14.500,11.050,,1989-09-01
1989,10,,,,14.717,,13.779,,,14.750,,11.350,,1989-10-01
1989,11,,,,15.212,,13.833,,,14.875,,11.590,,1989-11-01
1989,12,,,,15.896,,13.940,,,14.750,15.000,11.310,,1989-12-01
1990,1,,,,15.643,,14.064,,,14.875,,13.150,,1990-01-01
1990,2,,,,15.703,,14.211,,,15.000,,13.190,,1990-02-01
1990,3,,,,15.786,,14.401,,,15.250,15.250,13.260,,1990-03-01
1990,4,,,,15.446,,14.556,,,15.375,,13.850,,1990-04-01
1990,5,,,,15.461,,14.665,,,15.500,,14.270,,1990-05-01
1990,6,,,,15.260,,14.646,,,15.500,15.250,14.430,,1990-06-01
1990,7,,,,15.200,,14.638,,,15.625,,14.460,,1990-07-01
1990,8,,,,15.317,,14.646,,,15.625,,14.500,,1990-08-01
1990,9,,,,15.714,,14.688,,,15.625,15.250,14.500,,1990-09-01
1990,10,,,,15.319,,14.701,,,15.625,,14.500,,1990-10-01
1990,11,16.770,,,15.197,,14.696,17.180,16.290,15.875,,14.490,,1990-11-01
1990,12,16.660,,,15.268,,14.706,16.840,16.280,16.000,15.250,14.430,,1990-12-01
1991,1,16.920,,,15.292,,14.718,17.200,16.570,16.000,,12.330,,1991-01-01
1991,2,16.760,,,14.585,,14.631,17.170,16.220,15.875,,12.420,,1991-02-01
1991,3,16.760,,,13.590,,14.237,17.120,16.250,15.750,15.000,12.250,,1991-03-01
1991,4,16.540,,,13.136,,13.912,16.900,16.100,15.750,,12.120,,1991-04-01
1991,5,16.330,,,12.519,,13.463,16.370,16.170,15.750,,11.860,,1991-05-01
1991,6,15.930,,,12.233,,13.043,16.130,15.710,15.375,13.500,11.460,,1991-06-01
1991,7,15.730,,,12.646,,12.619,15.760,15.690,15.125,,11.290,,1991-07-01
1991,8,15.620,,,12.656,,12.289,15.910,15.280,15.000,,11.110,,1991-08-01
1991,9,15.740,,,12.274,,12.053,16.040,15.550,15.125,13.250,10.780,,1991-09-01
1991,10,15.450,,,12.436,,11.892,15.620,15.280,14.875,,10.560,,1991-10-01
